Location,Fuel Type,bt,km,Transmission,ownerNo,oem,model,modelYear,Displacement,Insurance Validity,No of Cylinder,Color,Values per Cylinder,Engine Type,Seats,Mileage_num,Torque_num,price_num,Power_num,Location_encode,Fuel Type_encode,bt_encode,Transmission_encode,oem_encode,model_encode,Insurance Validity_encode,Color_encode,Engine Type_encode
Delhi,Petrol,Hatchback,54000,Manual,1,Tata,Tata Tiago,2016,1199,Comprehensive,3.0,Brown,4.0,Revotron Engine,5,23.84,114.0,1.3217558399823195,84.0,2,4,2,1,27,238,2,14,322
Delhi,Petrol,Sedan,80000,Manual,3,Honda,Honda City,2009,1497,Third Party insurance,4.0,Others,4.0,In-Line Engine,5,17.0,146.0,0.26236426446749106,118.0,2,4,8,1,7,56,5,83,249
Delhi,Diesel,SUV,52000,Manual,1,Honda,Honda WR-V,2017,1498,Third Party insurance,4.0,Silver,4.0,i-DTEC Diesel Engine,5,25.5,200.0,1.7833912195575383,98.6,2,1,7,1,7,62,5,108,431
Delhi,Petrol,Hatchback,20000,Manual,1,Maruti,Maruti Wagon R,2010,1061,Third Party insurance,3.0,Others,4.0,FC Petrol Engine,5,18.9,84.0,0.6931471805599453,67.0,2,4,2,1,19,161,5,83,223
Delhi,Diesel,Hatchback,80000,Manual,1,Hyundai,Hyundai i20,2019,1396,Third Party insurance,4.0,Others,4.0,U2 CRDI Diesel Engine,5,22.54,219.66,1.6695918352538475,88.76,2,1,2,1,8,81,5,83,380
Delhi,Petrol,Hatchback,110000,Manual,3,Maruti,Maruti Wagon R,2009,1061,Third Party insurance,3.0,Silver,4.0,FC Petrol Engine,5,18.9,84.0,0.4054651081081644,67.0,2,4,2,1,19,161,5,108,223
Delhi,CNG,Hatchback,69821,Manual,1,Maruti,Maruti Wagon R,2019,998,Zero Dep,3.0,White,4.0,K10B Petrol Engine,5,33.54,90.0,1.6154199841116479,67.04,2,0,2,1,19,161,6,129,266
Delhi,Petrol,Hatchback,12754,Manual,1,Tata,Tata Altroz,2021,1199,Zero Dep,3.0,Red,4.0,1.2 l i-Turbo,5,18.05,140.0,2.1540850846756014,108.48,2,4,2,1,27,221,6,105,45
Delhi,Petrol,Sedan,69000,Manual,1,Toyota,Toyota Corolla Altis,2017,1798,Third Party insurance,4.0,White,4.0,2ZR-FE Petrol Engine,5,14.28,173.0,2.174751721484161,138.03,2,4,8,1,28,244,5,129,145
Delhi,Petrol,Hatchback,98390,Manual,1,Maruti,Maruti Wagon R,2014,998,Third Party insurance,3.0,Others,4.0,K10B Petrol Engine,5,20.51,90.0,1.000631880307906,67.04,2,4,2,1,19,161,5,83,266
Delhi,Petrol,Sedan,84195,Automatic,1,Maruti,Maruti Ciaz,2016,1373,Third Party insurance,4.0,Brown,4.0,k14B VVT Engine,5,19.12,130.0,1.8357763546448294,91.1,2,4,8,0,19,142,5,14,438
Delhi,Petrol,Sedan,17000,Automatic,1,Mercedes-Benz,Mercedes-Benz CLA,2018,1991,Third Party insurance,4.0,Red,4.0,In Line Petrol Engine,5,15.04,300.0,3.349904087274605,184.0,2,4,8,0,20,170,5,105,240
Delhi,Petrol,Hatchback,77184,Manual,1,Maruti,Maruti Ignis,2017,1197,Comprehensive,4.0,Silver,4.0,1.2-Litre VVT Petrol Engine,5,20.89,113.0,1.4539530095937054,81.8,2,4,2,1,19,149,2,108,47
Delhi,Petrol,Sedan,40000,Manual,1,Tata,Tata Manza,2012,1368,Third Party insurance,4.0,Others,4.0,"4 Cylinder, MPFI, Petrol ",5,13.7,116.0,0.5596157879354227,88.8,2,4,8,1,27,230,5,83,153
Delhi,Petrol,Hatchback,82848,Manual,1,Hyundai,Hyundai Grand i10,2017,1197,Comprehensive,4.0,Silver,4.0,Kappa VTVT Petrol Engine,5,18.9,113.75,1.4206957878372228,81.86,2,4,2,1,8,70,2,108,291
Delhi,Petrol,Hatchback,30000,Automatic,1,Tata,Tata Tiago,2019,1199,Third Party insurance,3.0,Gray,4.0,Revotron Engine,5,23.84,114.0,1.62924053973028,83.83,2,4,2,0,27,238,5,53,322
Delhi,Petrol,Hatchback,50000,Manual,1,Honda,Honda Jazz,2016,1199,Third Party insurance,4.0,Others,4.0,i-VTEC Petrol Engine,5,18.7,110.0,1.7047480922384253,88.7,2,4,2,1,7,59,5,83,436
Delhi,Diesel,MUV,40000,Automatic,1,Toyota,Toyota Innova Crysta,2022,2393,Third Party insurance,4.0,Others,4.0,2.4L Diesel Engine,7,12.0,360.0,3.1531632815028194,148.0,2,1,4,0,28,252,5,83,131
Delhi,Petrol,Hatchback,70000,Manual,1,Maruti,Maruti Alto K10,2013,998,Third Party insurance,3.0,Others,4.0,K Series Petrol Engine,5,20.92,90.0,0.5306282510621704,67.1,2,4,2,1,19,136,5,83,260
Delhi,Petrol,Hatchback,47688,Manual,1,Maruti,Maruti Baleno,2017,1197,Comprehensive,4.0,White,4.0,1.2L VVT Engine,5,21.01,113.0,1.5040773967762742,81.8,2,4,2,1,19,137,2,129,55
Delhi,Petrol,Sedan,100000,Manual,3,Toyota,Toyota Corolla Altis,2009,1798,Third Party insurance,4.0,White,4.0,2ZR-FE Gasoline 4Cylinder,5,14.53,173.0,0.09531017980432493,138.0,2,4,8,1,28,244,5,129,144
Delhi,Diesel,Hatchback,90000,Manual,2,Nissan,Nissan Micra,2014,1461,Third Party insurance,4.0,White,2.0,In-Line Diesel Engine,5,23.08,160.0,0.6931471805599453,63.1,2,1,2,1,23,196,5,129,247
Delhi,Petrol,Hatchback,40000,Manual,1,Maruti,Maruti Wagon R,2006,998,Third Party insurance,3.0,Blue,4.0,K Series Petrol Engine,5,18.9,90.0,-1.1086626245216111,67.1,2,4,2,1,19,161,5,9,260
Delhi,Petrol,Hatchback,40000,Manual,2,Mahindra,Mahindra KUV 100 NXT,2018,1198,Third Party insurance,3.0,Others,4.0,mFALCON G80 Engine,6,18.15,115.0,1.252762968495368,82.0,2,4,2,1,16,118,5,83,445
Delhi,Diesel,SUV,50000,Manual,1,Renault,Renault Duster,2016,1461,Third Party insurance,4.0,White,4.0,dCi THP Diesel Engine,5,19.87,200.0,1.410986973710262,83.8,2,1,7,1,25,204,5,129,425
